58946	The Battle of Algiers	La battaglia di Algeri	1966	121	43650	8.1
58947	Battle of the Bulge	Battle of the Bulge	1965	167	12443	6.8
59017	Cat Ballou	Cat Ballou	1965	97	11515	6.9
59037	The Cincinnati Kid	The Cincinnati Kid	1965	102	12892	7.3
59113	Doctor Zhivago	Doctor Zhivago	1965	197	60806	8
59170	Faster, Pussycat! Kill! Kill!	Faster, Pussycat! Kill! Kill!	1965	83	11843	6.8
59183	The Flight of the Phoenix	The Flight of the Phoenix	1965	142	16831	7.6
59243	The Great Race	The Great Race	1965	160	13792	7.3
59260	Help!	Help!	1965	92	14875	7.3
59274	The Hill	The Hill	1965	123	10348	7.9
59319	The Ipcress File	The Ipcress File	1965	109	11486	7.3
59578	For a Few Dollars More	Per qualche dollaro in più	1965	132	184194	8.3
59592	Pierrot le Fou	Pierrot le fou	1965	110	22738	7.7
59646	Repulsion	Repulsion	1965	105	40158	7.8
59740	The Sons of Katie Elder	The Sons of Katie Elder	1965	122	11871	7.2
59742	The Sound of Music	The Sound of Music	1965	174	167258	8
